__time,/current_EE_pose/header/header/stamp,/current_EE_pose/pose/orientation/pitch,/current_EE_pose/pose/orientation/roll,/current_EE_pose/pose/orientation/w,/current_EE_pose/pose/orientation/x,/current_EE_pose/pose/orientation/y,/current_EE_pose/pose/orientation/yaw,/current_EE_pose/pose/orientation/z,/current_EE_pose/pose/position/x,/current_EE_pose/pose/position/y,/current_EE_pose/pose/position/z,/equilibrium_pose/header/header/stamp,/equilibrium_pose/pose/orientation/pitch,/equilibrium_pose/pose/orientation/roll,/equilibrium_pose/pose/orientation/w,/equilibrium_pose/pose/orientation/x,/equilibrium_pose/pose/orientation/y,/equilibrium_pose/pose/orientation/yaw,/equilibrium_pose/pose/orientation/z,/equilibrium_pose/pose/position/x,/equilibrium_pose/pose/position/y,/equilibrium_pose/pose/position/z
1781381094.726066,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091790632,0.480010476,0.000000000,,,,,,,,,,,
1781381094.727306,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091790632,0.480010476,0.000000000,,,,,,,,,,,
1781381094.728281,,,,,,,,,,,,1781381094.726939440,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.730084,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091790632,0.480010476,0.000000000,,,,,,,,,,,
1781381094.734251,,,,,,,,,,,,1781381094.731154919,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.734267,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091811859,0.480010453,0.000000000,,,,,,,,,,,
1781381094.734997,,,,,,,,,,,,1781381094.733182669,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.735010,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091934193,0.480010320,0.000000000,,,,,,,,,,,
1781381094.735772,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091934193,0.480010320,0.000000000,,,,,,,,,,,
1781381094.735883,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091934193,0.480010320,0.000000000,,,,,,,,,,,
1781381094.738267,,,,,,,,,,,,1781381094.736376047,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.738697,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091974285,0.480010279,0.000000000,,,,,,,,,,,
1781381094.740097,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.092048594,0.480010210,0.000000000,,,,,,,,,,,
1781381094.741530,,,,,,,,,,,,1781381094.739528179,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.742970,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.092048594,0.480010210,0.000000000,,,,,,,,,,,
1781381094.744027,,,,,,,,,,,,1781381094.743004322,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.747960,,,,,,,,,,,,1781381094.747169256,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.748018,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.092152925,0.480010113,0.000000000,,,,,,,,,,,
1781381094.750062,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.092271610,0.480009990,0.000000000,,,,,,,,,,,
1781381094.751718,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.092300518,0.480009957,0.000000000,,,,,,,,,,,
1781381094.757814,,,,,,,,,,,,1781381094.754987478,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.757843,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.092300518,0.480009957,0.000000000,,,,,,,,,,,
1781381094.757940,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.092300518,0.480009957,0.000000000,,,,,,,,,,,
1781381094.757969,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.092300518,0.480009957,0.000000000,,,,,,,,,,,
1781381094.761237,,,,,,,,,,,,1781381094.757515430,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.761377,,,,,,,,,,,,1781381094.759443760,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.761387,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.092465936,0.480009751,0.000000000,,,,,,,,,,,
1781381094.761433,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.092511117,0.480009693,0.000000000,,,,,,,,,,,
1781381094.762918,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.092511117,0.480009693,0.000000000,,,,,,,,,,,
1781381094.763070,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.092534869,0.480009662,0.000000000,,,,,,,,,,,
1781381094.764331,,,,,,,,,,,,1781381094.763341904,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.767436,,,,,,,,,,,,1781381094.766582966,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.770849,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.092573474,0.480009612,0.000000000,,,,,,,,,,,
